CalendarDate,isWeekend,isMacauHoliday,isChinaHoliday,consecutiveChina,consecutiveMacau
10/8/2025,0,0,1,8,0
10/7/2025,0,1,1,7,0
10/6/2025,0,0,1,6,0
10/5/2025,1,0,1,5,0
10/4/2025,1,0,1,4,0
10/3/2025,0,0,1,3,0
10/2/2025,0,1,1,2,0
10/1/2025,0,1,1,1,0
9/30/2025,0,0,0,0,0
9/29/2025,0,0,0,0,0
9/28/2025,1,0,0,0,0
9/27/2025,1,0,0,0,0
9/26/2025,0,0,0,0,0
4/12/2025,1,0,0,0,0
4/11/2025,0,0,0,0,0
4/10/2025,0,0,0,0,0
4/9/2025,0,0,0,0,0
4/8/2025,0,0,0,0,0
4/7/2025,0,0,1,3,0
4/6/2025,1,0,1,2,3
4/5/2025,1,0,1,1,2
4/4/2025,0,1,0,0,1
4/3/2025,0,0,0,0,0
4/2/2025,0,0,0,0,0
4/1/2025,0,0,0,0,0
3/31/2025,0,0,0,0,0
3/30/2025,1,0,0,0,0
3/29/2025,1,0,0,0,0
